Wk,season,weight
1.0,2022-2023,1
2.0,2022-2023,2
3.0,2022-2023,3
4.0,2022-2023,4
5.0,2022-2023,5
6.0,2022-2023,6
7.0,2022-2023,7
8.0,2022-2023,8
9.0,2022-2023,9
10.0,2022-2023,10
11.0,2022-2023,11
12.0,2022-2023,12
13.0,2022-2023,13
14.0,2022-2023,14
15.0,2022-2023,15
16.0,2022-2023,16
17.0,2022-2023,17
18.0,2022-2023,18
19.0,2022-2023,19
20.0,2022-2023,20
21.0,2022-2023,21
22.0,2022-2023,22
23.0,2022-2023,23
24.0,2022-2023,24
25.0,2022-2023,25
26.0,2022-2023,26
27.0,2022-2023,27
28.0,2022-2023,28
29.0,2022-2023,29
30.0,2022-2023,30
31.0,2022-2023,31
32.0,2022-2023,32
33.0,2022-2023,33
34.0,2022-2023,34
35.0,2022-2023,35
36.0,2022-2023,36
37.0,2022-2023,37
38.0,2022-2023,38
1.0,2023-2024,39
2.0,2023-2024,40
3.0,2023-2024,41
4.0,2023-2024,42
5.0,2023-2024,43
6.0,2023-2024,44
7.0,2023-2024,45
8.0,2023-2024,46
9.0,2023-2024,47
10.0,2023-2024,48
11.0,2023-2024,49
12.0,2023-2024,50
13.0,2023-2024,51
14.0,2023-2024,52
15.0,2023-2024,53
16.0,2023-2024,54
17.0,2023-2024,55
18.0,2023-2024,56
19.0,2023-2024,57
20.0,2023-2024,58
21.0,2023-2024,59
22.0,2023-2024,60
23.0,2023-2024,61
24.0,2023-2024,62
25.0,2023-2024,63
26.0,2023-2024,64
27.0,2023-2024,65
28.0,2023-2024,66
29.0,2023-2024,67
30.0,2023-2024,68
31.0,2023-2024,69
32.0,2023-2024,70
33.0,2023-2024,71
34.0,2023-2024,72
35.0,2023-2024,73
36.0,2023-2024,74
37.0,2023-2024,75
38.0,2023-2024,76
